STATEFIP,State,state_code,uninsured,Year
55,Wisconsin,WI,0.09945400741238486,2016
56,Wyoming,WY,0.18927183820596535,2016
1,Alabama,AL,0.1929652121059462,2017
2,Alaska,AK,0.21237987414760012,2017
4,Arizona,AZ,0.1684339028194805,2017
5,Arkansas,AR,0.14828476084538375,2017
6,California,CA,0.11393874388449049,2017
8,Colorado,CO,0.1252324410424572,2017
9,Connecticut,CT,0.09552672349454984,2017
10,Delaware,DE,0.11702341684796594,2017
11,District of Columbia,DC,0.04408529040377379,2017
12,Florida,FL,0.23138481032963182,2017
13,Georgia,GA,0.23517198877294654,2017
15,Hawaii,HI,0.06985376964913242,2017
16,Idaho,ID,0.19621466156641384,2017
17,Illinois,IL,0.11721514451424864,2017
18,Indiana,IN,0.14727954357237952,2017
19,Iowa,IA,0.07611209416402549,2017
20,Kansas,KS,0.14164052520506198,2017
21,Kentucky,KY,0.0991417594032706,2017
22,Louisiana,LA,0.1524600682989784,2017
23,Maine,ME,0.161901097792835,2017
24,Maryland,MD,0.10463798509500728,2017
25,Massachusetts,MA,0.050617422689163034,2017
26,Michigan,MI,0.09856468031393922,2017
27,Minnesota,MN,0.07832482212054033,2017
28,Mississippi,MS,0.23922301194507498,2017
29,Missouri,MO,0.17108514746787432,2017
30,Montana,MT,0.14636978912937573,2017
31,Nebraska,NE,0.14799338421592412,2017
32,Nevada,NV,0.18828251292799786,2017
33,New Hampshire,NH,0.10150138826997566,2017
34,New Jersey,NJ,0.13415889926362357,2017
35,New Mexico,NM,0.16653987337299261,2017
36,New York,NY,0.0982522137700284,2017
37,North Carolina,NC,0.17973994559599632,2017
38,North Dakota,ND,0.12795607261057065,2017
39,Ohio,OH,0.10883099102001369,2017
40,Oklahoma,OK,0.2376110117089141,2017
41,Oregon,OR,0.118042625043238,2017
42,Pennsylvania,PA,0.10036096349946348,2017
44,Rhode Island,RI,0.08341852303936527,2017
45,South Carolina,SC,0.19923698748185373,2017
46,South Dakota,SD,0.17053060529754246,2017
47,Tennessee,TN,0.16679995407652817,2017
48,Texas,TX,0.2891005781979726,2017
49,Utah,UT,0.1295407437689996,2017
50,Vermont,VT,0.07230518791138793,2017
51,Virginia,VA,0.1501606226146371,2017
53,Washington,WA,0.10156826343332712,2017
54,West Virginia,WV,0.10804746494066883,2017
55,Wisconsin,WI,0.09156193054859396,2017
56,Wyoming,WY,0.2076344013389473,2017
1,Alabama,AL,0.19832046105418916,2018
2,Alaska,AK,0.17831927828986074,2018
4,Arizona,AZ,0.1804338529394501,2018
5,Arkansas,AR,0.16893175335940486,2018
6,California,CA,0.11555812015078702,2018
8,Colorado,CO,0.12040567429608316,2018
9,Connecticut,CT,0.08630615759280205,2018
10,Delaware,DE,0.09642341711558522,2018
11,District of Columbia,DC,0.043511572495432464,2018
12,Florida,FL,0.23810399253667033,2018
13,Georgia,GA,0.235971683817417,2018
15,Hawaii,HI,0.06483770437972032,2018
