State,Total,With health insurance coverage,No health insurance coverage,year,state_code,uninsured
Wisconsin,5771337,5424849,346488,2015,WI,0.060036002
Wyoming,586107,524476,61631,2015,WY,0.105153155
Alabama,4849377,4246632,602745,2014,AL,0.124293286
Alaska,736732,607562,129170,2014,AK,0.175328342
Arizona,6731484,5779067,952417,2014,AZ,0.141486929
Arkansas,2966369,2609962,356407,2014,AR,0.120149246
California,38802500,33891159,4911341,2014,CA,0.126572798
Colorado,5355866,4789135,566731,2014,CO,0.105815007
Connecticut,3596677,3348004,248673,2014,CT,0.069139653
Delaware,935614,862119,73495,2014,DE,0.078552694
District of Columbia,658893,621205,37688,2014,DC,0.057198969
Florida,19893297,16517094,3376203,2014,FL,0.169715608
Georgia,10097343,8446084,1651259,2014,GA,0.163534011
Hawaii,1419561,1350318,69243,2014,HI,0.048777756
Idaho,1634464,1408659,225805,2014,ID,0.138152324
Illinois,12880580,11586637,1293943,2014,IL,0.100456889
Indiana,6596855,5777490,819365,2014,IN,0.124205398
Iowa,3107126,2923679,183447,2014,IA,0.059040734
Kansas,2904021,2586866,317155,2014,KS,0.109212365
Kentucky,4413457,4008582,404875,2014,KY,0.091736478
Louisiana,4649676,3937988,711688,2014,LA,0.153061848
Maine,1330089,1199809,130280,2014,ME,0.097948333
Maryland,5976407,5488246,488161,2014,MD,0.081681351
Massachusetts,6745408,6511790,233618,2014,MA,0.034633635
Michigan,9909877,9047539,862338,2014,MI,0.087018033
Minnesota,5457173,5125648,331525,2014,MN,0.060750319
Mississippi,2994079,2537548,456531,2014,MS,0.152477941
Missouri,6063589,5345876,717713,2014,MO,0.118364388
Montana,1023579,882240,141339,2014,MT,0.138083138
Nebraska,1881503,1705284,176219,2014,NE,0.093658634
Nevada,2839099,2396858,442241,2014,NV,0.15576808
New Hampshire,1326813,1202467,124346,2014,NH,0.093717803
New Jersey,8938175,7938087,1000088,2014,NJ,0.111889508
New Mexico,2085572,1768570,317002,2014,NM,0.151997629
New York,19746227,18030610,1715617,2014,NY,0.086883282
North Carolina,9943964,8637202,1306762,2014,NC,0.131412584
North Dakota,739482,680241,59241,2014,ND,0.080111483
Ohio,11594163,10583478,1010685,2014,OH,0.087171881
Oklahoma,3878051,3273555,604496,2014,OK,0.155876238
Oregon,3970239,3570258,399981,2014,OR,0.100744817
Pennsylvania,12787209,11641641,1145568,2014,PA,0.089587024
Rhode Island,1055173,981453,73720,2014,RI,0.069865321
South Carolina,4832482,4163143,669339,2014,SC,0.138508328
South Dakota,853175,764846,88329,2014,SD,0.103529756
Tennessee,6549352,5748679,800673,2014,TN,0.122252247
Texas,26956958,21681367,5275591,2014,TX,0.195704241
Utah,2942902,2573296,369606,2014,UT,0.125592357
Vermont,626562,597278,29284,2014,VT,0.046737593
Virginia,8326289,7418540,907749,2014,VA,0.109022039
Washington,7061530,6406355,655175,2014,WA,0.092780885
West Virginia,1850326,1676745,173581,2014,WV,0.093811037
Wisconsin,5757564,5314521,443043,2014,WI,0.076949731
Wyoming,584153,511423,72730,2014,WY,0.124505053
Alabama,4833722,4152026,681696,2013,AL,0.141029211
Alaska,735132,600788,134344,2013,AK,0.182748132
Arizona,6626624,5448438,1178186,2013,AZ,0.177795813
Arkansas,2959373,2481067,478306,2013,AR,0.161624101
California,38332521,31719602,6612919,2013,CA,0.172514586
Colorado,5268367,4533515,734852,2013,CO,0.139483829
Connecticut,3596080,3261926,334154,2013,CT,0.092921737
Delaware,925749,828911,96838,2013,DE,0.104605028
District of Columbia,646449,605563,40886,2013,DC,0.063247062
Florida,19552860,15563670,3989190,2013,FL,0.204020793
Georgia,9992167,8062983,1929184,2013,GA,0.193069631
Hawaii,1404054,1304937,99117,2013,HI,0.070593439
Idaho,1612136,1346605,265531,2013,ID,0.164707568
Illinois,12882135,11226326,1655809,2013,IL,0.128535293
Indiana,6570902,5622362,948540,2013,IN,0.144354611
Iowa,3090416,2816731,273685,2013,IA,0.088559275
Kansas,2893957,2528501,365456,2013,KS,0.126282457
Kentucky,4395295,3739782,655513,2013,KY,0.149139705
Louisiana,4625470,3814879,810591,2013,LA,0.17524511
Maine,1328302,1180857,147445,2013,ME,0.111002618
Maryland,5928814,5318659,610155,2013,MD,0.1029135
Massachusetts,6692824,6430679,262145,2013,MA,0.03916807
Michigan,9895622,8778642,1116980,2013,MI,0.112876179
Minnesota,5420380,4966418,453962,2013,MN,0.083750955
Mississippi,2991207,2464424,526783,2013,MS,0.176110513
Missouri,6044171,5241421,802750,2013,MO,0.132813913
Montana,1015165,844899,170266,2013,MT,0.167722488
Nebraska,1868516,1668269,200247,2013,NE,0.107169005
Nevada,2790136,2210758,579378,2013,NV,0.207652243
New Hampshire,1323459,1178815,144644,2013,NH,0.109292392
New Jersey,8899339,7693632,1205707,2013,NJ,0.135482759
New Mexico,2085287,1677751,407536,2013,NM,0.19543401
New York,19651127,17521155,2129972,2013,NY,0.108389305
North Carolina,9848060,8320806,1527254,2013,NC,0.155081712
North Dakota,723393,649015,74378,2013,ND,0.102818247
Ohio,11570808,10263828,1306980,2013,OH,0.112954947
Oklahoma,3850568,3157915,692653,2013,OK,0.179883331
Oregon,3930065,3340941,589124,2013,OR,0.149901846
Pennsylvania,12773801,11502258,1271543,2013,PA,0.099543041
Rhode Island,1051511,926701,124810,2013,RI,0.118695858
South Carolina,4774839,4012548,762291,2013,SC,0.159647477
South Dakota,844877,738395,106482,2013,SD,0.126032547
Tennessee,6495978,5577509,918469,2013,TN,0.141390411
Texas,26448193,20519631,5928562,2013,TX,0.224157545
Utah,2900872,2506479,394393,2013,UT,0.135956705
Vermont,626630,582556,44074,2013,VT,0.070334966
Virginia,8260405,7237241,1023164,2013,VA,0.12386366
Washington,6971406,5988056,983350,2013,WA,0.14105476
West Virginia,1854304,1596569,257735,2013,WV,0.138992851
Wisconsin,5742713,5210561,532152,2013,WI,0.092665609
Wyoming,582658,508386,74272,2013,WY,0.127471004
Alabama,4833722,4152026,681696,2012,AL,0.141029211
Alaska,735132,600788,134344,2012,AK,0.182748132
Arizona,6626624,5448438,1178186,2012,AZ,0.177795813
Arkansas,2959373,2481067,478306,2012,AR,0.161624101
California,38332521,31719602,6612919,2012,CA,0.172514586
Colorado,5268367,4533515,734852,2012,CO,0.139483829
Connecticut,3596080,3261926,334154,2012,CT,0.092921737
Delaware,925749,828911,96838,2012,DE,0.104605028
District of Columbia,646449,605563,40886,2012,DC,0.063247062
Florida,19552860,15563670,3989190,2012,FL,0.204020793
Georgia,9992167,8062983,1929184,2012,GA,0.193069631
Hawaii,1404054,1304937,99117,2012,HI,0.070593439
Idaho,1612136,1346605,265531,2012,ID,0.164707568
Illinois,12882135,11226326,1655809,2012,IL,0.128535293
Indiana,6570902,5622362,948540,2012,IN,0.144354611
Iowa,3090416,2816731,273685,2012,IA,0.088559275
Kansas,2893957,2528501,365456,2012,KS,0.126282457
Kentucky,4395295,3739782,655513,2012,KY,0.149139705
Louisiana,4625470,3814879,810591,2012,LA,0.17524511
Maine,1328302,1180857,147445,2012,ME,0.111002618
Maryland,5928814,5318659,610155,2012,MD,0.1029135
Massachusetts,6692824,6430679,262145,2012,MA,0.03916807
Michigan,9895622,8778642,1116980,2012,MI,0.112876179
Minnesota,5420380,4966418,453962,2012,MN,0.083750955
Mississippi,2991207,2464424,526783,2012,MS,0.176110513
Missouri,6044171,5241421,802750,2012,MO,0.132813913
Montana,1015165,844899,170266,2012,MT,0.167722488
Nebraska,1868516,1668269,200247,2012,NE,0.107169005
Nevada,2790136,2210758,579378,2012,NV,0.207652243
New Hampshire,1323459,1178815,144644,2012,NH,0.109292392
New Jersey,8899339,7693632,1205707,2012,NJ,0.135482759
New Mexico,2085287,1677751,407536,2012,NM,0.19543401
New York,19651127,17521155,2129972,2012,NY,0.108389305
North Carolina,9848060,8320806,1527254,2012,NC,0.155081712
North Dakota,723393,649015,74378,2012,ND,0.102818247
Ohio,11570808,10263828,1306980,2012,OH,0.112954947
Oklahoma,3850568,3157915,692653,2012,OK,0.179883331
Oregon,3930065,3340941,589124,2012,OR,0.149901846
Pennsylvania,12773801,11502258,1271543,2012,PA,0.099543041
Rhode Island,1051511,926701,124810,2012,RI,0.118695858
South Carolina,4774839,4012548,762291,2012,SC,0.159647477
South Dakota,844877,738395,106482,2012,SD,0.126032547
Tennessee,6495978,5577509,918469,2012,TN,0.141390411
Texas,26448193,20519631,5928562,2012,TX,0.224157545
Utah,2900872,2506479,394393,2012,UT,0.135956705
Vermont,626630,582556,44074,2012,VT,0.070334966
Virginia,8260405,7237241,1023164,2012,VA,0.12386366
Washington,6971406,5988056,983350,2012,WA,0.14105476
West Virginia,1854304,1596569,257735,2012,WV,0.138992851
Wisconsin,5742713,5210561,532152,2012,WI,0.092665609
Wyoming,582658,508386,74272,2012,WY,0.127471004
Alabama,4802740,4102931,699809,2011,AL,0.145710365
Alaska,722718,579649,143069,2011,AK,0.197959647
Arizona,6482505,5330823,1151682,2011,AZ,0.177660025
Arkansas,2937979,2430371,507608,2011,AR,0.17277455
California,37691912,30807463,6884449,2011,CA,0.182650564
Colorado,5116796,4337300,779496,2011,CO,0.152340644
Connecticut,3580709,3273300,307409,2011,CT,0.085851433
Delaware,907135,823058,84077,2011,DE,0.09268411
District of Columbia,617996,568897,49099,2011,DC,0.079448734
Florida,19057542,15009721,4047821,2011,FL,0.212399952
Georgia,9815210,7839724,1975486,2011,GA,0.201267828
Hawaii,1374810,1275993,98817,2011,HI,0.071876841
Idaho,1584985,1331356,253629,2011,ID,0.160019811
Illinois,12869259,11194951,1674308,2011,IL,0.130101352
Indiana,6516922,5543490,973432,2011,IN,0.149369902
Iowa,3062309,2783731,278578,2011,IA,0.090969918
Kansas,2871238,2499800,371438,2011,KS,0.129365103
Kentucky,4369356,3717121,652235,2011,KY,0.149274859
Louisiana,4574836,3735310,839526,2011,LA,0.183509529
Maine,1328188,1181101,147087,2011,ME,0.110742606
Maryland,5828289,5219641,608648,2011,MD,0.104429962
Massachusetts,6587536,6306895,280641,2011,MA,0.042601817
Michigan,9876187,8677503,1198684,2011,MI,0.121371132
Minnesota,5344861,4875604,469257,2011,MN,0.087795922
Mississippi,2978512,2440127,538385,2011,MS,0.180756364
Missouri,6010688,5175849,834839,2011,MO,0.13889242
Montana,998199,809300,188899,2011,MT,0.189239821
Nebraska,1842641,1624140,218501,2011,NE,0.118580342
Nevada,2723322,2118668,604654,2011,NV,0.222028097
New Hampshire,1318194,1187377,130817,2011,NH,0.099239566
New Jersey,8821155,7654304,1166851,2011,NJ,0.13227871
New Mexico,2082224,1659294,422930,2011,NM,0.203114554
New York,19465197,17212827,2252370,2011,NY,0.115712674
North Carolina,9656401,8076669,1579732,2011,NC,0.163594283
North Dakota,683932,615012,68920,2011,ND,0.100770252
Ohio,11544951,10126888,1418063,2011,OH,0.122829711
Oklahoma,3791508,3076040,715468,2011,OK,0.188702754
Oregon,3871859,3262708,609151,2011,OR,0.157327785
Pennsylvania,12742886,11405600,1337286,2011,PA,0.104943731
Rhode Island,1051302,934117,117185,2011,RI,0.111466543
South Carolina,4679230,3882677,796553,2011,SC,0.170231641
South Dakota,824082,727895,96187,2011,SD,0.116720181
Tennessee,6403353,5433977,969376,2011,TN,0.151385688
Texas,25674681,19680395,5994286,2011,TX,0.23347071
Utah,2817222,2387068,430154,2011,UT,0.152687293
Vermont,626431,581268,45163,2011,VT,0.07209573
Virginia,8096604,7088751,1007853,2011,VA,0.124478485
